id,iso_code3,country,data_source,sector,gas,unit,emissions
1068473,VNM,Vietnam,Climate Watch,Total excluding LUCF,N2O,MtCO₂e,"[{'year': 1990, 'value': 10.6}, {'year': 1991, 'value': 11.9}, {'year': 1992, 'value': 11.81}, {'year': 1993, 'value': 12.36}, {'year': 1994, 'value': 14.5}, {'year': 1995, 'value': 14.34}, {'year': 1996, 'value': 15.73}, {'year': 1997, 'value': 15.47}, {'year': 1998, 'value': 17.37}, {'year': 1999, 'value': 17.86}, {'year': 2000, 'value': 18.76}, {'year': 2001, 'value': 17.22}, {'year': 2002, 'value': 18.18}, {'year': 2003, 'value': 19.46}, {'year': 2004, 'value': 20.34}, {'year': 2005, 'value': 19.6}, {'year': 2006, 'value': 19.38}, {'year': 2007, 'value': 20.87}, {'year': 2008, 'value': 18.32}, {'year': 2009, 'value': 23.65}, {'year': 2010, 'value': 21.55}, {'year': 2011, 'value': 20.39}, {'year': 2012, 'value': 21.48}, {'year': 2013, 'value': 24.12}, {'year': 2014, 'value': 22.76}, {'year': 2015, 'value': 24.92}, {'year': 2016, 'value': 24.23}, {'year': 2017, 'value': 24.5}, {'year': 2018, 'value': 25.05}, {'year': 2019, 'value': 25.2}, {'year': 2020, 'value': 25.35}, {'year': 2021, 'value': 25.89}]"
1068474,VNM,Vietnam,Climate Watch,Total excluding LUCF,F-Gas,MtCO₂e,"[{'year': 1990, 'value': 0.04}, {'year': 1991, 'value': 0.06}, {'year': 1992, 'value': 0.09}, {'year': 1993, 'value': 0.11}, {'year': 1994, 'value': 0.13}, {'year': 1995, 'value': 0.15}, {'year': 1996, 'value': 0.25}, {'year': 1997, 'value': 0.34}, {'year': 1998, 'value': 0.44}, {'year': 1999, 'value': 0.53}, {'year': 2000, 'value': 0.63}, {'year': 2001, 'value': 0.7}, {'year': 2002, 'value': 0.78}, {'year': 2003, 'value': 0.85}, {'year': 2004, 'value': 0.93}, {'year': 2005, 'value': 1.0}, {'year': 2006, 'value': 1.19}, {'year': 2007, 'value': 1.38}, {'year': 2008, 'value': 1.57}, {'year': 2009, 'value': 1.76}, {'year': 2010, 'value': 1.95}, {'year': 2011, 'value': 2.34}, {'year': 2012, 'value': 2.72}, {'year': 2013, 'value': 3.11}, {'year': 2014, 'value': 3.5}, {'year': 2015, 'value': 3.88}, {'year': 2016, 'value': 4.87}, {'year': 2017, 'value': 5.85}, {'year': 2018, 'value': 6.84}, {'year': 2019, 'value': 7.82}, {'year': 2020, 'value': 8.8}, {'year': 2021, 'value': 9.4}]"
1068475,VNM,Vietnam,Climate Watch,Electricity/Heat,All GHG,MtCO₂e,"[{'year': 1990, 'value': 4.9}, {'year': 1991, 'value': 3.65}, {'year': 1992, 'value': 3.06}, {'year': 1993, 'value': 2.8}, {'year': 1994, 'value': 3.74}, {'year': 1995, 'value': 4.51}, {'year': 1996, 'value': 5.65}, {'year': 1997, 'value': 8.16}, {'year': 1998, 'value': 10.52}, {'year': 1999, 'value': 9.67}, {'year': 2000, 'value': 11.53}, {'year': 2001, 'value': 12.41}, {'year': 2002, 'value': 15.63}, {'year': 2003, 'value': 15.84}, {'year': 2004, 'value': 20.59}, {'year': 2005, 'value': 24.36}, {'year': 2006, 'value': 26.76}, {'year': 2007, 'value': 29.01}, {'year': 2008, 'value': 30.27}, {'year': 2009, 'value': 32.46}, {'year': 2010, 'value': 41.63}, {'year': 2011, 'value': 40.41}, {'year': 2012, 'value': 41.61}, {'year': 2013, 'value': 44.61}, {'year': 2014, 'value': 53.2}, {'year': 2015, 'value': 84.37}, {'year': 2016, 'value': 97.88}, {'year': 2017, 'value': 94.13}, {'year': 2018, 'value': 121.13}, {'year': 2019, 'value': 154.67}, {'year': 2020, 'value': 151.63}, {'year': 2021, 'value': 143.13}]"
1068476,VNM,Vietnam,Climate Watch,Building,All GHG,MtCO₂e,"[{'year': 1990, 'value': 5.27}, {'year': 1991, 'value': 5.97}, {'year': 1992, 'value': 6.17}, {'year': 1993, 'value': 6.81}, {'year': 1994, 'value': 7.01}, {'year': 1995, 'value': 7.64}, {'year': 1996, 'value': 8.57}, {'year': 1997, 'value': 8.72}, {'year': 1998, 'value': 9.34}, {'year': 1999, 'value': 9.68}, {'year': 2000, 'value': 10.44}, {'year': 2001, 'value': 11.49}, {'year': 2002, 'value': 12.11}, {'year': 2003, 'value': 12.07}, {'year': 2004, 'value': 13.7}, {'year': 2005, 'value': 14.15}, {'year': 2006, 'value': 14.03}, {'year': 2007, 'value': 14.23}, {'year': 2008, 'value': 14.29}, {'year': 2009, 'value': 14.47}, {'year': 2010, 'value': 15.34}, {'year': 2011, 'value': 15.06}, {'year': 2012, 'value': 14.27}, {'year': 2013, 'value': 15.21}, {'year': 2014, 'value': 14.92}, {'year': 2015, 'value': 11.34}, {'year': 2016, 'value': 10.13}, {'year': 2017, 'value': 10.05}, {'year': 2018, 'value': 9.54}, {'year': 2019, 'value': 8.94}, {'year': 2020, 'value': 8.44}, {'year': 2021, 'value': 7.81}]"
1068477,VNM,Vietnam,Climate Watch,Manufacturing/Construction,All GHG,MtCO₂e,"[{'year': 1990, 'value': 5.92}, {'year': 1991, 'value': 6.52}, {'year': 1992, 'value': 7.05}, {'year': 1993, 'value': 7.5}, {'year': 1994, 'value': 7.66}, {'year': 1995, 'value': 10.74}, {'year': 1996, 'value': 11.3}, {'year': 1997, 'value': 13.51}, {'year': 1998, 'value': 14.04}, {'year': 1999, 'value': 14.09}, {'year': 2000, 'value': 14.78}, {'year': 2001, 'value': 16.8}, {'year': 2002, 'value': 18.7}, {'year': 2003, 'value': 19.99}, {'year': 2004, 'value': 23.17}, {'year': 2005, 'value': 24.44}, {'year': 2006, 'value': 24.54}, {'year': 2007, 'value': 27.26}, {'year': 2008, 'value': 35.8}, {'year': 2009, 'value': 39.41}, {'year': 2010, 'value': 42.04}, {'year': 2011, 'value': 43.82}, {'year': 2012, 'value': 43.24}, {'year': 2013, 'value': 46.52}, {'year': 2014, 'value': 51.71}, {'year': 2015, 'value': 33.77}, {'year': 2016, 'value': 36.67}, {'year': 2017, 'value': 38.45}, {'year': 2018, 'value': 60.79}, {'year': 2019, 'value': 74.8}, {'year': 2020, 'value': 96.48}, {'year': 2021, 'value': 96.97}]"
1068478,VNM,Vietnam,Climate Watch,Transportation,All GHG,MtCO₂e,"[{'year': 1990, 'value': 4.26}, {'year': 1991, 'value': 4.03}, {'year': 1992, 'value': 4.52}, {'year': 1993, 'value': 7.06}, {'year': 1994, 'value': 7.78}, {'year': 1995, 'value': 7.44}, {'year': 1996, 'value': 8.18}, {'year': 1997, 'value': 8.94}, {'year': 1998, 'value': 9.4}, {'year': 1999, 'value': 10.05}, {'year': 2000, 'value': 10.82}, {'year': 2001, 'value': 11.56}, {'year': 2002, 'value': 14.18}, {'year': 2003, 'value': 16.02}, {'year': 2004, 'value': 19.61}, {'year': 2005, 'value': 19.82}, {'year': 2006, 'value': 19.8}, {'year': 2007, 'value': 23.18}, {'year': 2008, 'value': 24.68}, {'year': 2009, 'value': 29.62}, {'year': 2010, 'value': 31.82}, {'year': 2011, 'value': 31.26}, {'year': 2012, 'value': 30.8}, {'year': 2013, 'value': 30.03}, {'year': 2014, 'value': 30.7}, {'year': 2015, 'value': 33.99}, {'year': 2016, 'value': 37.68}, {'year': 2017, 'value': 41.02}, {'year': 2018, 'value': 42.89}, {'year': 2019, 'value': 44.64}, {'year': 2020, 'value': 37.53}, {'year': 2021, 'value': 32.93}]"
1068479,VNM,Vietnam,Climate Watch,Other Fuel Combustion,All GHG,MtCO₂e,"[{'year': 1990, 'value': 0.73}, {'year': 1991, 'value': 0.72}, {'year': 1992, 'value': 0.8}, {'year': 1993, 'value': 1.11}, {'year': 1994, 'value': 1.18}, {'year': 1995, 'value': 1.1}, {'year': 1996, 'value': 1.19}, {'year': 1997, 'value': 1.23}, {'year': 1998, 'value': 1.22}, {'year': 1999, 'value': 1.18}, {'year': 2000, 'value': 1.15}, {'year': 2001, 'value': 1.15}, {'year': 2002, 'value': 1.3}, {'year': 2003, 'value': 1.39}, {'year': 2004, 'value': 1.58}, {'year': 2005, 'value': 1.66}, {'year': 2006, 'value': 1.64}, {'year': 2007, 'value': 1.65}, {'year': 2008, 'value': 1.66}, {'year': 2009, 'value': 1.68}, {'year': 2010, 'value': 1.66}, {'year': 2011, 'value': 1.65}, {'year': 2012, 'value': 1.52}, {'year': 2013, 'value': 1.46}, {'year': 2014, 'value': 1.41}, {'year': 2015, 'value': 5.53}, {'year': 2016, 'value': 6.04}, {'year': 2017, 'value': 6.85}, {'year': 2018, 'value': 7.13}, {'year': 2019, 'value': 7.54}, {'year': 2020, 'value': 7.17}, {'year': 2021, 'value': 7.47}]"
1068480,VNM,Vietnam,Climate Watch,Fugitive Emissions,All GHG,MtCO₂e,"[{'year': 1990, 'value': 3.26}, {'year': 1991, 'value': 4.68}, {'year': 1992, 'value': 5.05}, {'year': 1993, 'value': 5.36}, {'year': 1994, 'value': 5.19}, {'year': 1995, 'value': 6.54}, {'year': 1996, 'value': 7.04}, {'year': 1997, 'value': 7.24}, {'year': 1998, 'value': 8.22}, {'year': 1999, 'value': 9.37}, {'year': 2000, 'value': 9.54}, {'year': 2001, 'value': 10.26}, {'year': 2002, 'value': 10.61}, {'year': 2003, 'value': 11.36}, {'year': 2004, 'value': 15.0}, {'year': 2005, 'value': 16.75}, {'year': 2006, 'value': 17.64}, {'year': 2007, 'value': 18.33}, {'year': 2008, 'value': 17.44}, {'year': 2009, 'value': 19.32}, {'year': 2010, 'value': 19.25}, {'year': 2011, 'value': 20.33}, {'year': 2012, 'value': 20.41}, {'year': 2013, 'value': 20.53}, {'year': 2014, 'value': 20.38}, {'year': 2015, 'value': 20.12}, {'year': 2016, 'value': 18.79}, {'year': 2017, 'value': 18.37}, {'year': 2018, 'value': 18.44}, {'year': 2019, 'value': 19.56}, {'year': 2020, 'value': 17.54}, {'year': 2021, 'value': 19.62}]"
1068481,VNM,Vietnam,Climate Watch,Energy,CO2,MtCO₂e,"[{'year': 1990, 'value': 18.19}, {'year': 1991, 'value': 18.43}, {'year': 1992, 'value': 19.01}, {'year': 1993, 'value': 22.37}, {'year': 1994, 'value': 24.6}, {'year': 1995, 'value': 28.83}, {'year': 1996, 'value': 32.16}, {'year': 1997, 'value': 37.37}, {'year': 1998, 'value': 41.28}, {'year': 1999, 'value': 41.91}, {'year': 2000, 'value': 45.55}, {'year': 2001, 'value': 50.12}, {'year': 2002, 'value': 58.2}, {'year': 2003, 'value': 61.51}, {'year': 2004, 'value': 74.73}, {'year': 2005, 'value': 80.36}, {'year': 2006, 'value': 82.59}, {'year': 2007, 'value': 91.05}, {'year': 2008, 'value': 102.2}, {'year': 2009, 'value': 113.03}, {'year': 2010, 'value': 127.62}, {'year': 2011, 'value': 127.72}, {'year': 2012, 'value': 127.37}, {'year': 2013, 'value': 133.93}, {'year': 2014, 'value': 147.95}, {'year': 2015, 'value': 167.11}, {'year': 2016, 'value': 186.31}, {'year': 2017, 'value': 188.56}, {'year': 2018, 'value': 238.89}, {'year': 2019, 'value': 288.01}, {'year': 2020, 'value': 298.88}, {'year': 2021, 'value': 285.82}]"
1068482,VNM,Vietnam,Climate Watch,Electricity/Heat,CO2,MtCO₂e,"[{'year': 1990, 'value': 4.88}, {'year': 1991, 'value': 3.63}, {'year': 1992, 'value': 3.05}, {'year': 1993, 'value': 2.78}, {'year': 1994, 'value': 3.72}, {'year': 1995, 'value': 4.49}, {'year': 1996, 'value': 5.63}, {'year': 1997, 'value': 8.13}, {'year': 1998, 'value': 10.49}, {'year': 1999, 'value': 9.64}, {'year': 2000, 'value': 11.5}, {'year': 2001, 'value': 12.37}, {'year': 2002, 'value': 15.58}, {'year': 2003, 'value': 15.8}, {'year': 2004, 'value': 20.53}, {'year': 2005, 'value': 24.28}, {'year': 2006, 'value': 26.67}, {'year': 2007, 'value': 28.92}, {'year': 2008, 'value': 30.18}, {'year': 2009, 'value': 32.36}, {'year': 2010, 'value': 41.5}, {'year': 2011, 'value': 40.27}, {'year': 2012, 'value': 41.47}, {'year': 2013, 'value': 44.46}, {'year': 2014, 'value': 53.01}, {'year': 2015, 'value': 84.02}, {'year': 2016, 'value': 97.41}, {'year': 2017, 'value': 93.68}, {'year': 2018, 'value': 120.54}, {'year': 2019, 'value': 153.92}, {'year': 2020, 'value': 150.88}, {'year': 2021, 'value': 142.39}]"
