country,year,iso_code,population,gdp,primary_energy_consumption,fossil_fuel_consumption,coal_consumption,oil_consumption,gas_consumption,low_carbon_consumption,nuclear_consumption,renewables_consumption,hydro_consumption,solar_consumption,wind_consumption,biofuel_consumption,other_renewable_consumption,calc_fossil_share_energy,calc_coal_share_energy,calc_oil_share_energy,calc_gas_share_energy,calc_low_carbon_share_energy,calc_nuclear_share_energy,calc_renewables_share_energy,calc_hydro_share_energy,calc_solar_share_energy,calc_wind_share_energy,calc_biofuel_share_energy,calc_other_renewable_share_energy
Antigua and Barbuda,2021,ATG,93229,NA,2.747,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Antigua and Barbuda,2022,ATG,93772,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Argentina,2015,ARG,43257064,850356666368,996.94,870.15,15.814,387.81,466.526,126.79,18.19,108.6,87.084,0.04,1.598,15.131,4.748,87.282083174514,1.586253937047365,38.900034104359335,46.795795133107305,12.717916825485986,1.8245832246674827,10.893333600818503,8.735129496258551,0.004012277569362249,0.16029048889602182,1.5177442975505044,0.4762573474832989
Argentina,2016,ARG,43668236,832669286400,992.424,870.194,12.189,375.905,482.1,122.23,21.283,100.947,79.649,0.038,1.465,16.037,3.757,87.68369164792468,1.2282048801721845,37.87745963418861,48.578027133563886,12.316308352075325,2.144547088744327,10.171761263330996,8.02570272383578,0.0038290085689181236,0.14761835667013293,1.6159423794668406,0.37856803140593137
Argentina,2017,ARG,44054616,856142118912,991.397,867.003,12.525,371.477,483,124.394,15.547,108.847,84.082,0.044,1.628,18.428,4.666,87.45265519262213,1.2633687614547955,37.470054882151146,48.7191306812508,12.547344807377872,1.5681911484501165,10.979153658927753,8.481163449153064,0.004438181676966946,0.164212722047777,1.858791180526066,0.47064899328926757
Argentina,2018,ARG,44413592,833736998912,984.346,855.356,13.709,354.626,487.021,128.989,17.447,111.543,85.401,0.286,3.738,17.594,4.524,86.89586791636275,1.392701346884124,36.02655976658614,49.47660680289248,13.104030493342789,1.772445867611592,11.331686216025666,8.675912738000662,0.02905482421831348,0.3797445207274678,1.7873796408986273,0.45959449218059506
Argentina,2019,ARG,44745516,817053892608,927.358,795.546,8.124,321.832,465.589,131.813,21.354,110.459,72.501,2.108,13.169,17.97,4.711,85.78628749630673,0.8760370860013071,34.70418112530436,50.205961451780226,14.213820336914115,2.3026705975470096,11.911149739367106,7.818016343202949,0.2273124295040319,1.4200556850752353,1.9377629782672927,0.5080023033175969
Argentina,2020,ARG,45036032,735814221824,869.829,737.523,10.015,288.195,439.312,132.306,25.229,107.077,62.163,3.531,24.715,9.646,7.021,84.78942412819072,1.1513757301722523,33.132374294257836,50.505559138635306,15.21057587180929,2.9004551469311783,12.310120724878109,7.1465770858410105,0.40594185753751605,2.8413630725119536,1.108953598925766,0.8071701449365335
Argentina,2021,ARG,45276788,812324159488,958.463,824.284,14.052,350.891,459.341,134.179,25.536,108.643,51.412,5.764,33.853,10.42,7.194,86.00060722218802,1.4660972828372092,36.60975958383371,47.92475035551711,13.999392777811979,2.6642656002370466,11.33512717757493,5.364004661630131,0.6013795003041328,3.532009060339315,1.0871572507232934,0.7505767045780588
Argentina,2022,ARG,45510324,854914301952,1029.381,885.226,14.892,411.806,458.528,144.155,18.686,125.469,59.363,7.665,36.93,14,7.511,85.99595290762117,1.4466946640748177,40.00520701275815,44.54405123078821,14.004047092378816,1.8152656790828663,12.188781413295951,5.766863775414545,0.7446222535679208,3.587592932063055,1.360040645786157,0.7296618064642731
Armenia,2015,ARM,2878598,29464864768,40.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Armenia,2016,ARM,2865841,29522321408,40.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Armenia,2017,ARM,2851929,31741804544,43.641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Armenia,2018,ARM,2836563,33400320000,42.928,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Armenia,2019,ARM,2820604,35949092864,45.635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Armenia,2020,ARM,2805610,33378377728,47.937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Armenia,2021,ARM,2790971,35275595776,49.357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Armenia,2022,ARM,2780472,39721734144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
